form	lemmaId	lemma	linkType	pos	via	note
redyn	red.n	red	phillips	s. m.	reddyn	phillips-1610
reel	reill.v	reill	phillips	v.	reill	phillips-1610;questionable
reel	reill.n	reill	phillips	s. m.	reill	phillips-1610;questionable
riaghyn	ree.n	ree	phillips	s. m.	reeaghyn	phillips-1610;questionable
ribbe	ribbeh.n	ribbeh	phillips	s. f.	ribbeh	phillips-1610;questionable
riiaghyn	ree.n	ree	phillips	s. m.	reeaghyn	phillips-1610;questionable
riist	reesht.x	reesht	phillips	adv.	reesht	phillips-1610
rikortyn	recortys.n	recortys	phillips	s. f.	recortyssyn	phillips-1610;questionable
rikortyns	recortys.n	recortys	phillips	s. f.	recortyssyn	phillips-1610;questionable
ririyght	reeriaght.n	reeriaght	phillips	s. m.	reeriaght	phillips-1610;questionable
roschyn	roshtyn.v	roshtyn	phillips	v.	roshtyn	phillips-1610;questionable
royds	royd.x	royd	phillips	p. p.	royd	phillips-1610;questionable
rtyn	cooyrt.n	cooyrt	phillips	s.	cooyrtyn	phillips-1610;questionable
sawalys	saualtys.n	saualtys	phillips	s. f.	saualtys	phillips-1610;questionable
sawchey	sauchey.a	sauçhey	phillips	a.	sauchey	phillips-1610;questionable
sawn	son.x	son	phillips		son	phillips-1610;questionable
schiagh	stiagh.x	stiagh	phillips	adv.	stiagh	phillips-1610;questionable
shaghran	shaghryn.v	shaghryn	phillips	v.	shaghryn	phillips-1610;questionable
shaght	shiaght.a	shiaght	phillips	a.	shiaght	phillips-1610;questionable
shayr	share.a	share	phillips	a.	share	phillips-1610;questionable
shayr	share.v	share	phillips	v.	share	phillips-1610;questionable
shessaght	sheshaght.n	sheshaght	phillips	s.	sheshaght	phillips-1610;questionable
shii	shee.n	shee	phillips	s. f.	shee	phillips-1610;questionable
