form	lemmaId	lemma	linkType	pos	via	note
yerimoth	jerimoth.np	Jerimoth	mutation	np. other	Jerimoth	generated-lenition
jeriusalem	jeriusalem.np	Jeriusalem	self	np. other	Jeriusalem	
yeriusalem	jeriusalem.np	Jeriusalem	mutation	np. other	Jeriusalem	generated-lenition
jeroboam	jeroboam.np	Jeroboam	self	np. personal	Jeroboam	
yeroboam	jeroboam.np	Jeroboam	mutation	np. personal	Jeroboam	generated-lenition
jeroham	jeroham.np	Jeroham	self	np. other	Jeroham	
yeroham	jeroham.np	Jeroham	mutation	np. other	Jeroham	generated-lenition
jersey	jersey.np	Jersey	self	np. place	Jersey	
jerubbaal	jerubbaal.np	Jerubbaal	self	np. other	Jerubbaal	
yerubbaal	jerubbaal.np	Jerubbaal	mutation	np. other	Jerubbaal	generated-lenition
jerusalem	jerusalem.np	Jerusalem	self	np. place	Jerusalem	
yerusalem	jerusalem.np	Jerusalem	mutation	np. place	Jerusalem	generated-lenition
jeshaiah	jeshaiah.np	Jeshaiah	self	np. other	Jeshaiah	
yeshaiah	jeshaiah.np	Jeshaiah	mutation	np. other	Jeshaiah	generated-lenition
jeshimon	jeshimon.np	Jeshimon	self	np. other	Jeshimon	
yeshimon	jeshimon.np	Jeshimon	mutation	np. other	Jeshimon	generated-lenition
jeshua	jeshua.np	Jeshua	self	np. other	Jeshua	
yeshua	jeshua.np	Jeshua	mutation	np. other	Jeshua	generated-lenition
jesse	jesse.np	Jesse	self	np. personal	Jesse	
yesse	jesse.np	Jesse	mutation	np. personal	Jesse	generated-lenition
jether	jether.np	Jether	self	np. other	Jether	
yether	jether.np	Jether	mutation	np. other	Jether	generated-lenition
jethro	jethro.np	Jethro	self	np. personal	Jethro	
yethro	jethro.np	Jethro	mutation	np. personal	Jethro	generated-lenition
jeush	jeush.np	Jeush	self	np. other	Jeush	
yeush	jeush.np	Jeush	mutation	np. other	Jeush	generated-lenition
jezebel	jezebel.np	Jezebel	self	np. personal	Jezebel	
yezebel	jezebel.np	Jezebel	mutation	np. personal	Jezebel	generated-lenition
jezreel	jezreel.np	Jezreel	self	np. place	Jezreel	
yezreel	jezreel.np	Jezreel	mutation	np. place	Jezreel	generated-lenition
jezreelite	jezreelite.np	Jezreelite	self	np. other	Jezreelite	
yezreelite	jezreelite.np	Jezreelite	mutation	np. other	Jezreelite	generated-lenition
jimmy	jimmy.np	Jimmy	self	np. other	Jimmy	
yimmy	jimmy.np	Jimmy	mutation	np. other	Jimmy	generated-lenition
jinja	jinja.np	Jinja	self	np. other	Jinja	
yinja	jinja.np	Jinja	mutation	np. other	Jinja	generated-lenition
jiolgan	jiolgan.np	Jiolgan	self	np. other	Jiolgan	
yiolgan	jiolgan.np	Jiolgan	mutation	np. other	Jiolgan	generated-lenition
joab	joab.np	Joab	self	np. personal	Joab	
yoab	joab.np	Joab	mutation	np. personal	Joab	generated-lenition
joacim	joacim.np	Joacim	self	np. other	Joacim	
yoacim	joacim.np	Joacim	mutation	np. other	Joacim	generated-lenition
joah	joah.np	Joah	self	np. personal	Joah	
yoah	joah.np	Joah	mutation	np. personal	Joah	generated-lenition
joanna	joanna.np	Joanna	self	np. other	Joanna	
yoanna	joanna.np	Joanna	mutation	np. other	Joanna	generated-lenition
joash	joash.np	Joash	self	np. personal	Joash	
yoash	joash.np	Joash	mutation	np. personal	Joash	generated-lenition
joatham	joatham.np	Joatham	self	np. other	Joatham	
yoatham	joatham.np	Joatham	mutation	np. other	Joatham	generated-lenition
job	job.np	Job	self	np. personal	Job	
yob	job.np	Job	mutation	np. personal	Job	generated-lenition
jobab	jobab.np	Jobab	self	np. other	Jobab	
yobab	jobab.np	Jobab	mutation	np. other	Jobab	generated-lenition
joe	joe.np	Joe	self	np. personal	Joe	
yoe	joe.np	Joe	mutation	np. personal	Joe	generated-lenition
joel	joel.np	Joel	self	np. personal	Joel	
yoel	joel.np	Joel	mutation	np. personal	Joel	generated-lenition
johanan	johanan.np	Johanan	self	np. personal	Johanan	
yohanan	johanan.np	Johanan	mutation	np. personal	Johanan	generated-lenition
john	john.np	John	self	np. personal	John	
yohn	john.np	John	mutation	np. personal	John	generated-lenition
johnnie	johnnie.np	Johnnie	self	np. other	Johnnie	
yohnnie	johnnie.np	Johnnie	mutation	np. other	Johnnie	generated-lenition
johnny	johnny.np	Johnny	self	np. personal	Johnny	
yohnny	johnny.np	Johnny	mutation	np. personal	Johnny	generated-lenition
joiarib	joiarib.np	Joiarib	self	np. other	Joiarib	
yoiarib	joiarib.np	Joiarib	mutation	np. other	Joiarib	generated-lenition
jonadab	jonadab.np	Jonadab	self	np. other	Jonadab	
yonadab	jonadab.np	Jonadab	mutation	np. other	Jonadab	generated-lenition
jonah	jonah.np	Jonah	self	np. personal	Jonah	
yonah	jonah.np	Jonah	mutation	np. personal	Jonah	generated-lenition
jonas	jonah.np	Jonah	variant	np. personal	Jonas	
yonas	jonah.np	Jonah	mutation	np. personal	Jonas	generated-lenition
jonathan	jonathan.np	Jonathan	self	np. personal	Jonathan	
yonathan	jonathan.np	Jonathan	mutation	np. personal	Jonathan	generated-lenition
jones	jones.np	Jones	self	np. other	Jones	
yones	jones.np	Jones	mutation	np. other	Jones	generated-lenition
joppa	joppa.np	Joppa	self	np. place	Joppa	
yoppa	joppa.np	Joppa	mutation	np. place	Joppa	generated-lenition
joram	joram.np	Joram	self	np. personal	Joram	
yoram	joram.np	Joram	mutation	np. personal	Joram	generated-lenition
jordan	jordan.np	Jordan	self	np. place	Jordan	
yordan	jordan.np	Jordan	mutation	np. place	Jordan	generated-lenition
