flag	senseId	entryPath	gloss
	quaaltagh.n#1	cregeen:quaaltagh	one who meets;, The first person met on New Year's Day, or on going on some new work, &c. A company of young lads or men, generally went in old times on what they termed the qualtagh, at Christmas or New Year's Day to the house of their more wealthy neighbours; some one of the company repeating in an audible voice the following rhyme:—
	quaaltagh.n#2	cregeen:nyn guaaltagh	your, &c. meeter

	rap.n#1	cregeen:rap	a counterfeit, a base coin
	rap.n#2	cregeen:rap	a little rogue

	ren.v#1	cregeen:ren	did, didst; the preterit of jean
	ren.v#2	cregeen:my ren	if did, if done

	sauin.n#1	cregeen:Sauin	Hollantide, (from saue save) either from All Souls or All Saints Day, kept by the church of Rome on the first and the other on the second of November, to pray for the salvation of all souls and saints departed, to have them saved
	sauin.n#2	cregeen:yn Tauin	the Hollandtide

	seaghneyder.n#1	cregeen:seaghneyder	one who afflicts or troubles
	seaghneyder.n#2	cregeen:e heaghneyder	his troubler

	seihll.n#1	cregeen:seihll	world;, for the gender of this see Job ix. 24
	seihll.n#2	cregeen:e heihll	his time in the world; his world;

	shaghn.v#1	cregeen:shaghn	shun, avoid, eschew, spare, escape;
	shaghn.v#2	cregeen:haghn	did spare, spared, shunned, or evaded;

	shaghney.v#1	cregeen:shaghney	shunning, avoiding, &c.;
	shaghney.v#2	cregeen:dy haghney	to spare, shun or eschew

	sheayney.v#1	cregeen:sheayney	praying ejaculatory prayers;
	sheayney.v#2	cregeen:dy heayney	to pray or ejaculate for protection, peace, &c

	sheeanagh.a#1	cregeen:sheeanagh	sonorous, sounding
	sheeanagh.a#2	cregeen:ro heeanagh	too noisy

	sheebey.v#1	cregeen:sheebey	drifting before the wind, as snow, sand, &c.;
	sheebey.v#2	cregeen:er heebey	hath, &c. blown or blew away with the wind

	shickyr.v#1	cregeen:shickyr	make sure, &c.;; the comp. and sup. of shickyr.
	shickyr.v#2	cregeen:hickyr	did make sure or certain; did establish, confirm, or fasten;

	shid.x#1	cregeen:shid	yonder, there
	shid.x#2	cregeen:veih shid	from thence

	shilley.v#1	cregeen:shilley	shedding, spilling, draining, dropping
	shilley.v#2	cregeen:dy hilley	to shed drop or drain

	shirk.v#1	cregeen:shirk	shrink, dry up, contract, shrivel;
	shirk.v#2	cregeen:hirk	did shrink, shrunk, or shrank;

	shoh.x#1	cregeen:shoh	this, here
	shoh.x#2	cregeen:veih shoh	hence, from hence

	soilsheanagh.a#1	cregeen:soilsheanagh	shiny, bright, splendid, radiant, glittering;
	soilsheanagh.a#2	cregeen:ro hoilsheanagh	too enlightening, &c

